"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
2;"C1,C2,C23,C24";"C_0201_0603Metric";4;"1uF";;;
3;"C3,C4,C5,C6,C14,C15";"C_0201_0603Metric";6;"0.1uF";;;
4;"C7,C8,C9,C10,C11,C12,C13,C16,C17,C18,C19,C20,C21,C22";"C_0201_0603Metric";14;"100pF";;;
5;"IC1,IC6";"SOT96P237X112-3N";2;"MCP1541T-I_TT";;;
6;"IC2,IC3";"SOIC127P600X175-8N";2;"MAX31855KASA+";;;
7;"IC4,IC5";"SOP65P640X120-24N";2;"ADS8332IBPWR";;;
8;"J1,J2";"3817564";2;"3817564";;;
9;"J3,J4,J5,J6";"09661126600";4;"09661127601";;;
10;"R1,R16";"R_0201_0603Metric";2;"1k";;;
11;"R2,R5,R7,R9,R11,R13,R15,R17,R20,R22,R24,R26,R28,R30";"R_0201_0603Metric";14;"2k";;;
12;"R3,R4,R6,R8,R10,R12,R14,R18,R19,R21,R23,R25,R27,R29";"R_0201_0603Metric";14;"3k";;;
13;"U1";"Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM";1;"SeeeduinoXIAO";;;
14;"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14";"SOD2512X115N";14;"ESD12VD3B-TP";;;
